French,English
un,A
en,in
le,THE
et,And
de,of
avoir,to have
que,that
ne,born
dans,In
ce,This
il,he
qui,Who
pas,not
pour,For
sur,on
se,se
son,her
plus,more
pouvoir,power
par,by
je,I
avec,with
tout,All
faire,TO DO
nous,We
mettre,put
autre,other
on,we
mais,but
leur,their
comme,as
ou,Or
si,if
avant,Before
y,y
dire,say
elle,She
devoir,duty
donner,give
deux,two
prendre,take
aussi,Also
celui,the one
bien,GOOD
cela,that
fois,times
vous,YOU
encore,Again
vouloir,to want
nouveau,new
aller,go
entre,between
premier,first
aucun,none
grand,big
mon,My
me,me
moins,less
quelque,some
lui,him
temps,time
savoir,know
falloir,to need
voir,see
notre,OUR
sans,without
dont,of which
raison,reason
monde,world
non,No
monsieur,Sir
an,year
jour,day
trouver,find
demander,ask
alors,SO
venir,come
personne,person
rendre,give back
part,go
dernier,last
lequel,which
pendant,during
passer,pass
peu,little
depuis,Since
suite,following
bon,Good
comprendre,to understand
rester,stay
point,point
ainsi,Thus
heure,hour
toujours,always
tenir,hold
porter,to carry
parler,talk
seul,alone
montrer,to show
certain,certain
fort,strong
tu,you
continuer,continue
pays,country
fin,END
penser,think
lieu,place
partie,part
quand,When
trois,three
contre,against
sous,below
ensemble,together
chose,thing
enfant,child
suivre,follow
cause,cause
place,place
seulement,only
moi,Me
vie,life
politique,policy
jusque,until
croire,believe
homme,man
cas,case
commencer,to start
compter,count
fait,do
tel,such
petit,little
question,question
donc,SO
quel,what
entendre,hear
beaucoup,a lot
chaque,each
droit,right
moment,moment
travail,work
femme,women
attendre,to wait for
remettre,to put back
jeune,young
permettre,allow
occuper,to occupy
gouvernement,government
eux,them
appeler,to call
devenir,become
partir,leave
soit,either
ici,here
rien,Nothing
plan,plan
cours,course
nom,name
famille,family
effet,effect
affaire,affair
arriver,arrive
servir,serve
mois,month
jamais,Never
car,because
possible,possible
tant,so much
vers,towards
besoin,need
revenir,to come back
sembler,seem
moyen,AVERAGE
groupe,band
rapport,report
maintenant,NOW
pourquoi,Why
meilleur,best
vue,view
trop,too much
laisser,to leave
ordre,order
devant,in front
recevoir,receive
long,long
service,service
ministre,minister
vivre,live
chez,at the house of
te,you
rappeler,remind
face,face
accepter,accept
agir,to act
simple,simple
votre,your
important,important
mieux,better
plusieurs,several
jouer,play
mot,word
poser,to set down
situation,situation
offrir,to offer
force,strength
national,national
projet,project
ni,neither
choisir,choose
toucher,to touch
train,train
aujourd'hui,Today
comment,how
puis,Then
gens,people
propre,own
surtout,Above all
aimer,to like
sens,sense
selon,according to
semaine,week
ci,this
retrouver,find
nombre,number
perdre,lose
